actorId,name
1,Christian Bale
2,Leonardo DiCaprio
3,Tom Hardy
4,Cillian Murphy
5,Scarlett Johansson
6,Robert Downey Jr.
7,Morgan Freeman
8,Denzel Washington
9,Brad Pitt
10,Matt Damon
11,Jennifer Lawrence
12,Emma Stone
13,Anne Hathaway
14,Amy Adams
15,Michael Caine
16,Samuel L. Jackson
17,Chris Evans
18,Chris Hemsworth
19,Mark Ruffalo
20,Natalie Portman
21,Ryan Gosling
22,Jake Gyllenhaal
23,Jessica Chastain
24,Kate Winslet
25,Hugh Jackman
26,Will Smith
27,Tom Cruise
28,Matt Damon
29,Ben Affleck
30,George Clooney
